output,param,S1,ST,S1_conf,ST_conf
Bcat-TCF,km4,-3.44476e-05,7.8089e-07,0.000425242,9.71734e-07
Bcat-TCF,kp5,0.111524,0.25266,0.323969,0.310555
Bcat-TCF,km5,0.0926907,0.0838748,0.227584,0.175227
Bcat-TCF,kp6,0.063122,0.157755,0.266063,0.177383
Bcat-TCF,km6,0.0884928,0.0893267,0.238863,0.171882
Bcat-TCF,k7,0.131453,0.0845364,0.23032,0.173602
Bcat-TCF,k8,0.0119759,0.240527,0.297594,0.223793
Bcat-TCF,kp9,-0.000148698,5.97029e-07,0.000393637,5.58938e-07
Bcat-TCF,km9,-0.000232199,5.18619e-07,0.000421125,5.16819e-07
Bcat-TCF,k10,-0.000183598,3.8053e-07,0.000450953,2.93067e-07
Bcat-TCF,k14,0.0515161,0.0213143,0.0872777,0.0230223
Bcat-TCF,k15,-0.000275948,7.42885e-07,0.000451825,6.95783e-07
Bcat-TCF,v16,-0.0300555,0.105314,0.154437,0.0649832
Bcat-TCF,v17,2.41451e-05,2.52971e-07,0.00024736,1.96578e-07
Bcat-TCF,v18,-0.000168173,1.23026e-06,0.00054232,1.24693e-06
Bcat-TCF,v19,-0.00311358,0.00020786,0.00513006,0.000221413
Bcat-TCF,k20,-0.000336242,6.01219e-07,0.000368259,8.38999e-07
Bcat-TCF,k21,-0.000333326,8.88325e-07,0.000442033,8.48323e-07
Bcat-TCF,k22,-0.000147174,7.74179e-07,0.000437562,7.2739e-07
Bcat-TCF,k23,-0.00155116,6.12061e-05,0.0032861,5.57998e-05
Bcat-TCF,MCsynth,0.0867938,0.137156,0.206621,0.116979
Bcat-TCF,gamma1,0.742496,0.769237,0.381429,0.354411
Bcat-TCF,retef,-0.0168447,0.00465967,0.0438482,0.00235893
Bcat-TCF,wntef,-0.000374592,7.62413e-07,0.000443657,7.84579e-07
Stemness,kp1,-0.0107036,0.063578,0.0456975,0.136776
Stemness,km1,0.00169235,2.89445e-05,0.00259241,1.9774e-05
Stemness,k2,0.00926566,0.00088444,0.0125976,0.00102904
Stemness,kp3,-6.33027e-05,2.6837e-06,0.000757683,2.82736e-06
Stemness,km3,-0.00029072,4.17315e-06,0.00086429,3.63448e-06
Stemness,kp4,-0.000225858,2.96172e-06,0.00103485,3.54771e-06
Stemness,km4,-0.000405978,2.61676e-06,0.00110779,4.00934e-06
Stemness,kp5,0.155959,0.502398,0.25495,0.499677
Stemness,km5,-0.00134987,0.0814514,0.0663558,0.149682
Stemness,kp6,0.0962892,0.310277,0.174983,0.203019
Stemness,km6,-0.00195967,0.101745,0.0939325,0.139842
Stemness,k7,0.131431,0.085808,0.0904324,0.143665
Stemness,k8,-0.173137,0.429341,0.285649,0.287377
Stemness,kp9,-0.000404091,2.99289e-06,0.000947782,3.34111e-06
Stemness,km9,-0.000206685,3.01758e-06,0.000599878,3.75332e-06
Stemness,k10,-0.000398632,1.90515e-06,0.000657693,1.91563e-06
Stemness,k14,-0.00708481,0.0889467,0.112108,0.0721089
Stemness,k15,-0.00021276,3.38411e-06,0.000832244,3.81222e-06
Stemness,v16,0.126644,0.485563,0.32004,0.271417
Stemness,v17,-0.000582871,1.65479e-06,0.000789569,2.08539e-06
Stemness,v18,-0.000515901,4.73365e-06,0.00131548,6.5257e-06
Stemness,v19,0.022689,0.00156407,0.0250506,0.00156903
Stemness,k20,-0.000468364,2.55948e-06,0.000998237,3.97925e-06
Stemness,k21,-0.000138995,4.49949e-06,0.000953825,5.90559e-06
Stemness,k22,-8.1713e-05,4.40261e-06,0.00089566,6.55962e-06
Stemness,k23,0.000891854,0.000441695,0.0087517,0.000431866
Stemness,MCsynth,0.247745,0.555967,0.27597,0.442563
Stemness,gamma1,0.10056,0.0382286,0.166688,0.0627453
Stemness,retef,0.00630369,0.0301328,0.0636794,0.0254947
Stemness,wntef,-0.000292242,3.79831e-06,0.000890856,4.94544e-06
